Company: DE
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2023-12-21   106.60     114.66    
2024-01-04   113.75     109.39    
2024-01-22   115.84     106.30    
2024-02-06   111.38     99.57     
2024-02-20   127.54     93.92     
2024-03-06   126.47     111.30    
2024-03-20   121.75     134.06    
2024-04-03   115.34     125.35    
2024-04-18   117.39     117.56    
2024-05-02   124.60     110.62    
2024-05-16   123.50     121.85    
2024-05-30   141.50     123.82    
2024-06-14   145.03     138.85    
2024-06-28   140.17     145.61    
2024-07-15   127.86     132.27    
2024-07-30   137.92     125.64    
2024-08-13   139.50     133.75    
2024-08-27   167.47     141.27    
2024-09-10   167.16     155.87    
2024-09-25   174.09     164.75    
2024-10-09   173.43     180.80    
2024-10-23   189.58     192.23    
2024-11-06   190.37     178.89    
2024-12-17   N/A        153.86    

Company: AAPL
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   134.76     140.40    
2023-01-05   143.00     100.62    
2023-01-23   153.85     128.68    
2023-02-07   147.41     157.49    
2023-02-21   152.59     147.40    
2023-03-08   157.65     152.35    
2023-03-22   160.10     156.84    
2023-04-05   163.76     169.00    
2023-04-19   173.56     173.73    
2023-05-04   171.84     173.17    
2023-05-18   180.57     180.23    
2023-06-01   186.68     187.62    
2023-06-16   188.61     189.96    
2023-06-30   192.75     201.67    
2023-07-17   178.85     202.49    
2023-08-01   175.84     205.99    
2023-08-15   189.70     175.58    
2023-08-29   179.07     197.74    
2023-09-12   172.40     180.68    
2023-09-27   177.15     176.85    
2023-10-11   170.77     187.41    
2023-10-25   187.44     177.17    
2023-11-08   189.37     186.42    
2023-11-22   197.96     203.72    
2023-12-06   193.58     195.46    
2023-12-21   185.92     205.46    
2024-01-04   191.73     185.50    
2024-01-22   187.15     203.70    
2024-02-06   182.63     194.29    
2024-02-20   173.23     192.50    
2024-03-06   169.71     170.80    
2024-03-20   167.78     167.81    
2024-04-03   169.02     168.48    
2024-04-18   182.74     160.28    
2024-05-02   190.90     168.51    
2024-05-16   194.48     188.26    
2024-05-30   207.49     200.97    
2024-06-14   227.82     214.80    
2024-06-28   223.96     234.34    
2024-07-15   209.27     206.01    
2024-07-30   225.89     191.40    
2024-08-13   222.77     237.68    
2024-08-27   216.79     198.78    
2024-09-10   226.21     190.50    
2024-09-25   233.85     197.99    
2024-10-09   233.67     191.65    
2024-10-23   224.23     190.95    
2024-11-06   235.06     189.56    
2024-12-17   N/A        191.66    

Company: CARR
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2024-01-09   54.71      57.35     
2024-01-24   55.00      56.24     
2024-02-08   55.58      55.44     
2024-02-22   57.31      53.30     
2024-03-08   58.13      62.62     
2024-03-22   56.84      60.49     
2024-04-05   60.50      54.56     
2024-04-22   65.50      54.51     
2024-05-06   65.65      68.37     
2024-05-20   62.54      68.60     
2024-06-03   63.93      65.08     
2024-06-18   63.60      72.14     
2024-07-02   65.99      66.55     
2024-07-17   63.11      69.79     
2024-08-01   69.66      70.77     
2024-08-15   69.04      68.94     
2024-08-29   80.57      71.39     
2024-09-12   80.05      77.44     
2024-09-27   81.44      67.02     
2024-10-11   72.72      66.03     
2024-10-25   74.97      63.01     
2024-11-08   77.37      83.65     
2024-12-17   N/A        71.57     

Company: ALGN
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   239.76     201.41    
2023-01-05   265.82     218.88    
2023-01-23   325.26     248.94    
2023-02-07   309.50     316.45    
2023-02-21   320.76     314.85    
2023-03-08   305.29     353.72    
2023-03-22   332.25     327.76    
2023-04-05   354.55     340.06    
2023-04-19   305.26     346.43    
2023-05-04   281.23     324.52    
2023-05-18   306.76     315.77    
2023-06-01   328.83     313.38    
2023-06-16   343.70     348.32    
2023-06-30   337.01     341.54    
2023-07-17   361.25     352.41    
2023-08-01   342.59     388.67    
2023-08-15   368.63     398.19    
2023-08-29   318.00     359.64    
2023-09-12   290.61     352.34    
2023-09-27   276.76     312.10    
2023-10-11   184.59     311.84    
2023-10-25   202.72     286.03    
2023-11-08   216.48     209.27    
2023-11-22   231.36     216.14    
2023-12-06   276.67     219.61    
2023-12-21   271.64     268.80    
2024-01-04   270.39     284.84    
2024-01-22   302.44     289.94    
2024-02-06   313.06     293.74    
2024-02-20   310.68     313.73    
2024-03-06   319.94     325.05    
2024-03-20   327.82     335.60    
2024-04-03   313.78     323.18    
2024-04-18   273.65     322.48    
2024-05-02   261.12     310.69    
2024-05-16   257.46     304.59    
2024-05-30   242.19     275.49    
2024-06-14   248.94     282.20    
2024-06-28   249.31     244.96    
2024-07-15   207.94     252.00    
2024-07-30   240.01     226.30    
2024-08-13   226.50     219.98    
2024-08-27   253.16     231.47    
2024-09-10   245.35     226.40    
2024-09-25   219.15     260.83    
2024-10-09   212.78     243.55    
2024-10-23   219.09     217.99    
2024-11-06   227.93     216.44    
2024-12-17   N/A        231.89    

Company: V
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   223.06     212.73    
2023-01-05   229.10     217.44    
2023-01-23   228.88     229.49    
2023-02-07   219.94     231.99    
2023-02-21   218.66     204.62    
2023-03-08   220.33     230.04    
2023-03-22   227.81     233.32    
2023-04-05   228.15     227.94    
2023-04-19   231.27     223.49    
2023-05-04   222.25     223.81    
2023-05-18   223.05     225.69    
2023-06-01   229.55     227.77    
2023-06-16   238.16     226.18    
2023-06-30   240.74     243.59    
2023-07-17   241.51     262.27    
2023-08-01   239.46     212.97    
2023-08-15   245.34     258.62    
2023-08-29   243.56     261.46    
2023-09-12   228.81     255.41    
2023-09-27   241.20     210.22    
2023-10-11   235.10     215.82    
2023-10-25   246.94     224.17    
2023-11-08   254.23     258.72    
2023-11-22   262.38     230.42    
2023-12-06   260.40     276.43    
2023-12-21   264.17     264.54    
2024-01-04   273.66     270.33    
2024-01-22   275.07     274.20    
2024-02-06   283.17     281.69    
2024-02-20   283.92     293.28    
2024-03-06   280.60     302.47    
2024-03-20   274.48     301.97    
2024-04-03   275.02     300.74    
2024-04-18   277.19     290.49    
2024-05-02   275.58     273.27    
2024-05-16   277.04     258.18    
2024-05-30   275.22     280.29    
2024-06-14   266.40     279.14    
2024-06-28   267.71     249.12    
2024-07-15   256.44     268.17    
2024-07-30   266.47     262.65    
2024-08-13   278.54     255.72    
2024-08-27   291.56     288.70    
2024-09-10   277.60     284.16    
2024-09-25   279.29     260.25    
2024-10-09   281.88     286.60    
2024-10-23   309.85     293.83    
2024-11-06   311.82     277.88    
2024-12-17   N/A        259.23    

Company: HSY
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   226.61     237.39    
2023-01-05   223.19     224.69    
2023-01-23   239.91     224.72    
2023-02-07   238.32     251.23    
2023-02-21   242.00     243.79    
2023-03-08   252.90     240.68    
2023-03-22   258.61     248.95    
2023-04-05   261.75     267.40    
2023-04-19   274.12     252.94    
2023-05-04   262.47     233.51    
2023-05-18   255.12     235.92    
2023-06-01   259.09     233.62    
2023-06-16   241.91     257.77    
2023-06-30   245.82     246.27    
2023-07-17   228.88     258.13    
2023-08-01   216.29     240.83    
2023-08-15   212.10     237.78    
2023-08-29   209.07     214.27    
2023-09-12   197.18     197.93    
2023-09-27   190.77     193.15    
2023-10-11   187.35     197.97    
2023-10-25   197.84     193.65    
2023-11-08   185.72     193.51    
2023-11-22   188.79     196.41    
2023-12-06   184.11     190.82    
2023-12-21   190.64     182.70    
2024-01-04   192.79     185.80    
2024-01-22   193.72     195.39    
2024-02-06   187.17     198.26    
2024-02-20   196.47     195.46    
2024-03-06   190.90     190.13    
2024-03-20   192.03     204.14    
2024-04-03   188.14     193.46    
2024-04-18   199.96     185.40    
2024-05-02   205.57     197.91    
2024-05-16   197.32     215.00    
2024-05-30   182.09     200.03    
2024-06-14   184.76     197.73    
2024-06-28   191.29     185.39    
2024-07-15   196.02     182.49    
2024-07-30   197.17     196.84    
2024-08-13   197.34     200.35    
2024-08-27   199.28     195.47    
2024-09-10   191.81     199.01    
2024-09-25   184.33     195.00    
2024-10-09   180.02     192.51    
2024-10-23   181.50     177.61    
2024-11-06   173.29     169.49    
2024-12-17   N/A        178.79    

Company: MMM
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   108.29     105.46    
2023-01-05   94.13      106.33    
2023-01-23   96.39      104.73    
2023-02-07   90.08      98.26     
2023-02-21   85.94      95.50     
2023-03-08   85.07      90.66     
2023-03-22   87.27      88.08     
2023-04-05   86.05      86.56     
2023-04-19   84.36      88.62     
2023-05-04   81.10      86.55     
2023-05-18   84.25      83.05     
2023-06-01   84.21      77.43     
2023-06-16   81.26      86.11     
2023-06-30   87.18      83.20     
2023-07-17   87.98      84.49     
2023-08-01   82.93      92.23     
2023-08-15   89.34      89.14     
2023-08-29   83.80      87.35     
2023-09-12   74.24      90.34     
2023-09-27   75.71      78.07     
2023-10-11   76.05      73.25     
2023-10-25   79.41      72.07     
2023-11-08   82.33      75.91     
2023-11-22   87.12      76.93     
2023-12-06   91.71      84.58     
2023-12-21   90.40      87.50     
2024-01-04   80.59      90.47     
2024-01-22   79.12      90.54     
2024-02-06   77.17      77.70     
2024-02-20   82.54      75.26     
2024-03-06   85.81      75.26     
2024-03-20   92.63      85.53     
2024-04-03   92.02      94.03     
2024-04-18   96.35      92.13     
2024-05-02   101.49     97.98     
2024-05-16   98.22      101.47    
2024-05-30   102.39     102.16    
2024-06-14   101.10     103.76    
2024-06-28   104.97     103.08    
2024-07-15   124.61     104.52    
2024-07-30   127.08     127.36    
2024-08-13   130.85     126.13    
2024-08-27   133.57     135.29    
2024-09-10   137.06     129.89    
2024-09-25   135.73     136.04    
2024-10-09   129.27     142.31    
2024-10-23   130.35     133.73    
2024-11-06   132.95     130.02    
2024-12-17   N/A        131.94    

Company: SPG
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   125.57     117.38    
2023-01-05   125.95     119.13    
2023-01-23   125.78     122.39    
2023-02-07   122.09     130.22    
2023-02-21   112.20     132.14    
2023-03-08   104.15     118.65    
2023-03-22   109.51     112.76    
2023-04-05   108.34     113.16    
2023-04-19   106.53     117.62    
2023-05-04   102.16     116.34    
2023-05-18   109.71     111.31    
2023-06-01   107.74     110.17    
2023-06-16   120.95     114.91    
2023-06-30   124.41     119.39    
2023-07-17   119.66     119.50    
2023-08-01   112.72     121.12    
2023-08-15   114.94     121.12    
2023-08-29   114.26     115.11    
2023-09-12   103.37     119.31    
2023-09-27   110.15     115.36    
2023-10-11   109.89     108.97    
2023-10-25   120.79     112.73    
2023-11-08   122.76     122.15    
2023-11-22   139.26     120.85    
2023-12-06   144.28     129.74    
2023-12-21   146.62     148.03    
2024-01-04   141.73     135.88    
2024-01-22   145.70     138.95    
2024-02-06   149.70     128.75    
2024-02-20   150.60     148.57    
2024-03-06   150.67     152.14    
2024-03-20   145.55     151.54    
2024-04-03   142.81     148.28    
2024-04-18   147.88     138.61    
2024-05-02   146.19     136.62    
2024-05-16   153.78     156.50    
2024-05-30   146.16     146.86    
2024-06-14   146.87     150.95    
2024-06-28   157.74     151.86    
2024-07-15   148.05     149.14    
2024-07-30   159.89     151.06    
2024-08-13   163.92     152.56    
2024-08-27   164.35     165.22    
2024-09-10   169.55     150.83    
2024-09-25   174.63     165.26    
2024-10-09   171.98     157.92    
2024-10-23   178.22     189.09    
2024-11-06   183.46     168.90    
2024-12-17   N/A        191.39    

Company: MA
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   375.52     364.06    
2023-01-05   371.12     374.98    
2023-01-23   370.83     373.30    
2023-02-07   355.29     400.05    
2023-02-21   352.82     360.41    
2023-03-08   354.33     372.56    
2023-03-22   361.78     381.59    
2023-04-05   366.76     370.39    
2023-04-19   382.54     381.16    
2023-05-04   368.50     393.46    
2023-05-18   367.59     368.69    
2023-06-01   379.81     354.66    
2023-06-16   392.16     391.61    
2023-06-30   404.79     399.05    
2023-07-17   396.87     416.80    
2023-08-01   393.20     329.16    
2023-08-15   411.50     389.63    
2023-08-29   413.53     415.82    
2023-09-12   391.06     410.65    
2023-09-27   401.77     363.52    
2023-10-11   376.35     341.64    
2023-10-25   397.65     332.87    
2023-11-08   409.82     384.71    
2023-11-22   424.68     404.69    
2023-12-06   426.32     384.60    
2023-12-21   429.10     357.32    
2024-01-04   440.58     426.63    
2024-01-22   458.71     443.23    
2024-02-06   474.75     450.83    
2024-02-20   472.87     463.93    
2024-03-06   476.80     478.31    
2024-03-20   469.17     464.46    
2024-04-03   462.50     499.86    
2024-04-18   454.77     510.33    
2024-05-02   456.52     452.44    
2024-05-16   448.68     465.02    
2024-05-30   454.85     462.73    
2024-06-14   446.24     448.73    
2024-06-28   447.94     430.57    
2024-07-15   442.00     447.51    
2024-07-30   466.98     450.66    
2024-08-13   482.12     434.31    
2024-08-27   500.99     498.30    
2024-09-10   496.38     484.34    
2024-09-25   507.23     444.21    
2024-10-09   506.28     478.76    
2024-10-23   529.17     423.07    
2024-11-06   528.48     412.88    
2024-12-17   N/A        427.57    

Company: PFE
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   47.85      52.30     
2023-01-05   43.55      50.90     
2023-01-23   43.99      46.23     
2023-02-07   40.57      43.76     
2023-02-21   39.90      41.55     
2023-03-08   39.99      41.94     
2023-03-22   41.37      40.08     
2023-04-05   38.63      40.32     
2023-04-19   38.30      42.52     
2023-05-04   38.63      39.02     
2023-05-18   39.09      38.37     
2023-06-01   38.30      39.79     
2023-06-16   35.68      41.31     
2023-06-30   37.51      38.55     
2023-07-17   35.68      37.13     
2023-08-01   37.01      37.14     
2023-08-15   35.38      36.65     
2023-08-29   33.99      37.53     
2023-09-12   33.90      34.19     
2023-09-27   32.75      32.81     
2023-10-11   30.56      33.12     
2023-10-25   29.26      31.99     
2023-11-08   30.08      31.31     
2023-11-22   26.66      30.86     
2023-12-06   28.79      29.58     
2023-12-21   28.70      27.97     
2024-01-04   27.48      29.23     
2024-01-22   27.66      28.67     
2024-02-06   26.89      26.81     
2024-02-20   28.01      27.60     
2024-03-06   27.59      26.26     
2024-03-20   26.32      27.59     
2024-04-03   26.27      27.43     
2024-04-18   28.27      25.25     
2024-05-02   29.60      26.48     
2024-05-16   28.80      28.78     
2024-05-30   27.74      28.07     
2024-06-14   27.93      27.56     
2024-06-28   29.60      27.95     
2024-07-15   29.74      29.18     
2024-07-30   28.80      30.80     
2024-08-13   28.30      29.41     
2024-08-27   29.83      28.97     
2024-09-10   28.67      29.67     
2024-09-25   29.44      29.67     
2024-10-09   28.46      29.48     
2024-10-23   26.19      29.05     
2024-11-06   25.77      27.86     
2024-12-17   N/A        25.58     

Company: PG
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   150.88     157.44    
2023-01-05   141.01     158.88    
2023-01-23   140.07     140.57    
2023-02-07   137.56     141.76    
2023-02-21   139.85     141.85    
2023-03-08   146.36     141.38    
2023-03-22   151.07     149.85    
2023-04-05   154.58     161.48    
2023-04-19   154.03     157.78    
2023-05-04   146.33     160.28    
2023-05-18   146.44     152.74    
2023-06-01   148.46     142.21    
2023-06-16   148.86     152.19    
2023-06-30   153.42     156.19    
2023-07-17   156.92     156.04    
2023-08-01   151.77     162.47    
2023-08-15   152.44     154.79    
2023-08-29   153.60     158.85    
2023-09-12   145.49     158.75    
2023-09-27   146.26     152.27    
2023-10-11   150.03     145.49    
2023-10-25   152.12     161.50    
2023-11-08   151.13     157.90    
2023-11-22   148.58     155.82    
2023-12-06   145.73     150.80    
2023-12-21   150.60     147.88    
2024-01-04   156.16     157.17    
2024-01-22   157.11     151.77    
2024-02-06   159.30     165.06    
2024-02-20   161.93     158.24    
2024-03-06   160.55     162.37    
2024-03-20   157.24     166.88    
2024-04-03   162.60     164.57    
2024-04-18   165.07     156.11    
2024-05-02   167.81     166.91    
2024-05-16   168.47     174.93    
2024-05-30   168.26     179.72    
2024-06-14   166.52     170.98    
2024-06-28   168.25     166.94    
2024-07-15   168.06     172.47    
2024-07-30   168.42     171.85    
2024-08-13   174.52     167.55    
2024-08-27   175.88     161.86    
2024-09-10   173.04     154.76    
2024-09-25   173.57     153.09    
2024-10-09   167.17     154.01    
2024-10-23   165.84     156.64    
2024-11-06   179.31     173.99    
2024-12-17   N/A        152.24    

Company: ABBV
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   153.60     167.74    
2023-01-05   145.65     172.51    
2023-01-23   153.73     133.94    
2023-02-07   153.90     147.18    
2023-02-21   153.85     158.64    
2023-03-08   158.25     154.24    
2023-03-22   162.36     145.58    
2023-04-05   161.80     167.63    
2023-04-19   146.42     169.60    
2023-05-04   141.15     131.97    
2023-05-18   137.64     144.17    
2023-06-01   135.92     137.93    
2023-06-16   134.49     139.00    
2023-06-30   143.18     134.76    
2023-07-17   150.33     135.85    
2023-08-01   150.16     145.54    
2023-08-15   146.10     158.07    
2023-08-29   153.49     147.80    
2023-09-12   147.43     150.14    
2023-09-27   149.18     151.92    
2023-10-11   141.18     146.62    
2023-10-25   138.06     147.25    
2023-11-08   138.50     142.31    
2023-11-22   154.30     140.15    
2023-12-06   154.75     142.59    
2023-12-21   162.40     157.45    
2024-01-04   163.91     171.23    
2024-01-22   173.07     169.74    
2024-02-06   178.99     181.08    
2024-02-20   180.92     177.99    
2024-03-06   179.19     181.81    
2024-03-20   169.03     193.30    
2024-04-03   167.80     187.77    
2024-04-18   160.45     173.00    
2024-05-02   159.61     171.64    
2024-05-16   168.57     167.86    
2024-05-30   170.39     157.13    
2024-06-14   166.52     181.52    
2024-06-28   173.61     178.14    
2024-07-15   184.36     176.92    
2024-07-30   196.87     180.81    
2024-08-13   197.69     194.96    
2024-08-27   193.45     172.73    
2024-09-10   196.96     173.66    
2024-09-25   191.86     171.92    
2024-10-09   189.45     173.31    
2024-10-23   171.09     183.99    
2024-11-06   181.14     172.95    
2024-12-17   N/A        190.39    

Company: FMC
Comparison of Actual vs Predicted Prices:
dates        actual     predicted 
2022-12-22   129.97     138.05    
2023-01-05   130.29     136.52    
2023-01-23   128.94     134.72    
2023-02-07   129.15     122.63    
2023-02-21   120.26     128.46    
2023-03-08   119.25     128.33    
2023-03-22   122.50     142.77    
2023-04-05   119.82     125.76    
2023-04-19   110.58     130.11    
2023-05-04   104.91     124.75    
2023-05-18   109.96     114.60    
2023-06-01   105.73     98.69     
2023-06-16   92.63      110.26    
2023-06-30   95.41      107.02    
2023-07-17   91.05      94.81     
2023-08-01   88.15      94.64     
2023-08-15   82.62      91.13     
2023-08-29   72.50      86.59     
2023-09-12   65.15      84.34     
2023-09-27   67.24      71.26     
2023-10-11   53.20      67.00     
2023-10-25   52.74      64.02     
2023-11-08   52.68      53.79     
